2026-06-18 22:47:00 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:47:37 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:47:48 | INFO | ui | Validando catalogo de productos
2026-06-18 22:47:54 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:48:11 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:48:23 | INFO | ui | Validando agregado de producto al carrito
2026-06-18 22:48:30 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:48:53 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:49:00 | INFO | ui | Validando remocion de producto
2026-06-18 22:49:07 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:49:21 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:49:27 | INFO | ui | Validando flujo completo de checkout
2026-06-18 22:49:37 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:50:25 | INFO | api | Ejecutando GET /posts/1
2026-06-18 22:50:26 | INFO | api | Ejecutando POST /posts
2026-06-18 22:50:37 | INFO | api | Ejecutando DELETE /posts/1
2026-06-18 22:50:38 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:50:47 | INFO | ui | Validando login exitoso
2026-06-18 22:50:50 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:51:13 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:51:21 | INFO | ui | Validando login invalido: usuario_invalido
2026-06-18 22:51:24 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:51:33 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:51:40 | INFO | ui | Validando login invalido: password_invalida
2026-06-18 22:51:43 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:51:49 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:51:55 | INFO | ui | Validando catalogo de productos
2026-06-18 22:51:59 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:52:07 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:52:14 | INFO | ui | Validando agregado de producto al carrito
2026-06-18 22:52:17 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:52:23 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:52:29 | INFO | ui | Validando remocion de producto
2026-06-18 22:52:32 | INFO | tests | Cerrando navegador Chrome
2026-06-18 22:52:39 | INFO | tests | Iniciando navegador Chrome
2026-06-18 22:52:46 | INFO | ui | Validando flujo completo de checkout
2026-06-18 22:52:51 | INFO | tests | Cerrando navegador Chrome
2026-06-18 23:17:37 | INFO | api | Ejecutando GET /posts/1
2026-06-18 23:17:37 | INFO | api | Ejecutando POST /posts
2026-06-18 23:17:38 | INFO | api | Ejecutando DELETE /posts/1
2026-06-18 23:17:38 | INFO | api | Ejecutando GET /posts/999999 para validar manejo de error
2026-06-18 23:25:06 | INFO | api | Ejecutando GET /posts/1
2026-06-18 23:25:06 | INFO | api | Ejecutando POST /posts
2026-06-18 23:25:07 | INFO | api | Ejecutando DELETE /posts/1
2026-06-18 23:25:07 | INFO | api | Ejecutando GET /posts/999999 para validar manejo de error
2026-06-18 23:25:07 | INFO | tests | Iniciando navegador Chrome
2026-06-18 23:25:16 | INFO | ui | Validando login exitoso
2026-06-18 23:25:20 | INFO | tests | Cerrando navegador Chrome
2026-06-18 23:25:30 | INFO | tests | Iniciando navegador Chrome
2026-06-18 23:25:42 | INFO | ui | Validando login invalido: usuario_invalido
2026-06-18 23:25:45 | INFO | tests | Cerrando navegador Chrome
2026-06-18 23:26:07 | INFO | tests | Iniciando navegador Chrome
2026-06-18 23:26:13 | INFO | ui | Validando login invalido: password_invalida
2026-06-18 23:26:22 | INFO | tests | Cerrando navegador Chrome
2026-06-18 23:26:54 | INFO | tests | Iniciando navegador Chrome
2026-06-18 23:27:02 | INFO | ui | Validando catalogo de productos
2026-06-18 23:27:05 | INFO | tests | Cerrando navegador Chrome
2026-06-18 23:27:19 | INFO | tests | Iniciando navegador Chrome
2026-06-18 23:27:28 | INFO | ui | Validando agregado de producto al carrito
2026-06-18 23:27:44 | INFO | tests | Cerrando navegador Chrome
2026-06-18 23:28:11 | INFO | tests | Iniciando navegador Chrome
2026-06-18 23:28:42 | INFO | ui | Validando remocion de producto
2026-06-18 23:28:51 | INFO | tests | Cerrando navegador Chrome
2026-06-18 23:29:22 | INFO | tests | Iniciando navegador Chrome
2026-06-18 23:29:36 | INFO | ui | Validando flujo completo de checkout
2026-06-18 23:29:42 | INFO | tests | Cerrando navegador Chrome
